observation_date,CHNGDPNQDSMEI
2010-01-01,8750129999999.9980
2010-04-01,9934740000000.0000
2010-07-01,10596370000000.0000
2010-10-01,11930680000000.0000
2011-01-01,10446990000000.0000
2011-04-01,11889590000000.0000
2011-07-01,12656220000000.0000
2011-10-01,13801210000000.0000
2012-01-01,11735760000000.0000
2012-04-01,13132060000000.0000
2012-07-01,13808960000000.0000
2012-10-01,15181200000000.0000
2013-01-01,12944960000000.0000
2013-04-01,14351870000000.0000
2013-07-01,15222270000000.0000
2013-10-01,16777230000000.0000
2014-01-01,14075980000000.0000
2014-04-01,15648960000000.0000
2014-07-01,16548470000000.0020
2014-10-01,18082890000000.0000
2015-01-01,15113790000000.0000
2015-04-01,16854970000000.0020
2015-07-01,17659770000000.0000
2015-10-01,19257290000000.0000
2016-01-01,16241000000000.0000
2016-04-01,18140820000000.0000
2016-07-01,19101060000000.0000
2016-10-01,21156620000000.0000
2017-01-01,18186770000000.0000
2017-04-01,20195030000000.0000
2017-07-01,21278930000000.0000
2017-10-01,23542870000000.0000
2018-01-01,20203570000000.0000
2018-04-01,22396220000000.0000
2018-07-01,23447430000000.0000
2018-10-01,25880890000000.0000
2019-01-01,21716830000000.0000
2019-04-01,24150260000000.0000
2019-07-01,25104630000000.0000
2019-10-01,27679800000000.0000
2020-01-01,20524480000000.0000
2020-04-01,24834770000000.0000
2020-07-01,26435570000000.0000
2020-10-01,29561880000000.0000
