QuarterDate,Quarter,1YearLPRRate,Inflation,NominalGDP,UnemploymentRate,Ystar
2010-01-01,2010Q1,5.31,2.071556,8750129999999.998,4.1,6710222392638.034
2010-04-01,2010Q2,5.31,2.718078,9934740000000.0,4.1,7618665644171.777
2010-07-01,2010Q3,5.31,3.264564,10596370000000.0,4.1,8126050613496.931
2010-10-01,2010Q4,5.6433333333333335,4.642333,11930680000000.0,4.1,9149294478527.605
2011-01-01,2011Q1,5.976666666666667,5.223647,10446990000000.0,4.1,8011495398773.005
2011-04-01,2011Q2,6.31,5.954095,11889590000000.0,4.1,9117783742331.287
2011-07-01,2011Q3,6.56,6.438447,12656220000000.0,4.1,9705690184049.078
2011-10-01,2011Q4,6.56,4.620924,13801210000000.0,4.1,10583749999999.998
2012-01-01,2012Q1,6.56,3.727297,11735760000000.0,4.1,8999815950920.244
2012-04-01,2012Q2,6.476666666666667,2.771089,13132060000000.0,4.1,10070598159509.201
2012-07-01,2012Q3,6.0,1.89781,13808960000000.0,4.1,10589693251533.74
2012-10-01,2012Q4,6.0,2.103176,15181200000000.0,4.1,11642024539877.299
2013-01-01,2013Q1,6.0,2.463619,12944960000000.0,4.05,9777160120845.92
2013-04-01,2013Q2,6.0,2.390944,14351870000000.0,4.05,10839780966767.37
2013-07-01,2013Q3,6.0,2.7335130000000003,15222270000000.0,4.05,11497182779456.191
2013-10-01,2013Q4,5.72625,2.894226,16777230000000.0,4.05,12671623867069.484
2014-01-01,2014Q1,5.746166666666666,2.24056,14075980000000.0,4.1,10794463190184.047
2014-04-01,2014Q2,5.768387096774194,2.138235,15648960000000.0,4.1,12000736196319.016
2014-07-01,2014Q3,5.76,1.905997,16548470000000.002,4.1,12690544478527.605
2014-10-01,2014Q4,5.6496774193548385,1.40732,18082890000000.0,4.1,13867246932515.334
2015-01-01,2015Q1,5.432999999999999,1.147486,15113790000000.0,4.3999999999999995,12765025337837.834
2015-04-01,2015Q2,5.146774193548387,1.357313,16854970000000.002,4.3999999999999995,14235616554054.05
2015-07-01,2015Q3,4.703846153846154,1.79357,17659770000000.0,4.3999999999999995,14915346283783.78
2015-10-01,2015Q4,4.352419354838709,1.450253,19257290000000.0,4.3999999999999995,16264603040540.535
2016-01-01,2016Q1,4.3,2.102102,16241000000000.0,4.7,15264097744360.902
2016-04-01,2016Q2,4.3,2.10914,18140820000000.0,4.7,17049642857142.855
2016-07-01,2016Q3,4.3,1.628989,19101060000000.0,4.7,17952124060150.375
2016-10-01,2016Q4,4.3,2.160904,21156620000000.0,4.7,19884041353383.457
2017-01-01,2017Q1,4.3,1.437909,18186770000000.0,5.0,19265646186440.676
2017-04-01,2017Q2,4.3,1.508197,20195030000000.0,5.0,21393040254237.285
2017-07-01,2017Q3,4.3,1.602879,21278930000000.0,5.0,22541239406779.656
2017-10-01,2017Q4,4.3,1.822323,23542870000000.0,5.0,24939480932203.387
2018-01-01,2018Q1,4.3,2.126289,20203570000000.0,4.93,20785565843621.395
2018-04-01,2018Q2,4.309516129032258,1.711886,22396220000000.0,4.93,23041378600823.04
2018-07-01,2018Q3,4.31,2.285898,23447430000000.0,4.93,24122870370370.367
2018-10-01,2018Q4,4.31,2.173218,25880890000000.0,4.93,26626430041152.258
2019-01-01,2019Q1,4.31,1.829653,21716830000000.0,5.15,24566549773755.656
2019-04-01,2019Q2,4.31,2.667514,24150260000000.0,5.15,27319298642533.938
2019-07-01,2019Q3,4.305405405405405,2.864337,25104630000000.0,5.15,28398902714932.125
2019-10-01,2019Q4,4.166666666666667,4.222709,27679800000000.0,5.15,31311990950226.242
2020-01-01,2020Q1,4.083333333333333,4.956629,20524480000000.0,5.61,29320685714285.715
2020-04-01,2020Q2,3.85,2.72193,24834770000000.0,5.61,35478242857142.86
2020-07-01,2020Q3,3.85,1.958384,26435570000000.0,5.61,37765100000000.0
2020-10-01,2020Q4,3.85,0.120048,29561880000000.0,5.61,42231257142857.15
