observation_date,GFDEBTN
2010-01-01,12773123
2010-04-01,13201792
2010-07-01,13561622
2010-10-01,14025215
2011-01-01,14270114
2011-04-01,14343087
2011-07-01,14790340
2011-10-01,15222940
2012-01-01,15606518
2012-04-01,15855037
2012-07-01,16066240
2012-10-01,16432730
2013-01-01,16771381
2013-04-01,16738320
2013-07-01,16738180
2013-10-01,17156119
2014-01-01,17601227
2014-04-01,17632606
2014-07-01,17824071
2014-10-01,18141444
2015-01-01,18152056
2015-04-01,18151998
2015-07-01,18150618
2015-10-01,18922179
2016-01-01,19264939
2016-04-01,19381591
2016-07-01,19573445
2016-10-01,19976827
2017-01-01,19846420
2017-04-01,19844554
2017-07-01,20244900
2017-10-01,20492747
2018-01-01,21089643
2018-04-01,21195070
2018-07-01,21516058
2018-10-01,21974096
2019-01-01,22027880
2019-04-01,22023283
2019-07-01,22719402
2019-10-01,23201380
2020-01-01,23223813
2020-04-01,26477241
2020-07-01,26945391
2020-10-01,27747798
